city,year,weekofyear,total_cases
sj,2008,18,6
sj,2008,19,7
sj,2008,20,8
sj,2008,21,17
sj,2008,22,16
sj,2008,23,10
sj,2008,24,6
sj,2008,25,19
sj,2008,26,11
sj,2008,27,19
sj,2008,28,22
sj,2008,29,29
sj,2008,30,23
sj,2008,31,29
sj,2008,32,40
sj,2008,33,62
sj,2008,34,31
sj,2008,35,55
sj,2008,36,141
sj,2008,37,77
sj,2008,38,58
sj,2008,39,61
sj,2008,40,66
sj,2008,41,48
sj,2008,42,55
sj,2008,43,40
sj,2008,44,28
sj,2008,45,28
sj,2008,46,44
sj,2008,47,34
sj,2008,48,36
sj,2008,49,56
sj,2008,50,43
sj,2008,51,34
sj,2008,52,28
sj,2009,1,33
sj,2009,2,19
sj,2009,3,26
sj,2009,4,28
sj,2009,5,38
sj,2009,6,13
sj,2009,7,19
sj,2009,8,19
sj,2009,9,22
sj,2009,10,10
sj,2009,11,14
sj,2009,12,9
sj,2009,13,5
sj,2009,14,11
sj,2009,15,10
sj,2009,16,6
sj,2009,17,8
sj,2009,18,12
sj,2009,19,8
sj,2009,20,11
sj,2009,21,13
sj,2009,22,15
sj,2009,23,10
sj,2009,24,17
sj,2009,25,16
sj,2009,26,10
sj,2009,27,23
sj,2009,28,20
sj,2009,29,33
sj,2009,30,48
sj,2009,31,52
sj,2009,32,61
sj,2009,33,33
sj,2009,34,44
sj,2009,35,68
sj,2009,36,128
sj,2009,37,49
sj,2009,38,60
sj,2009,39,69
sj,2009,40,79
sj,2009,41,87
sj,2009,42,88
sj,2009,43,37
sj,2009,44,45
sj,2009,45,35
sj,2009,46,30
sj,2009,47,55
sj,2009,48,33
sj,2009,49,61
sj,2009,50,32
sj,2009,51,45
sj,2009,52,45
sj,2010,53,47
sj,2010,1,40
sj,2010,2,26
sj,2010,3,52
sj,2010,4,35
sj,2010,5,25
sj,2010,6,28
sj,2010,7,29
sj,2010,8,33
sj,2010,9,26
sj,2010,10,17
sj,2010,11,9
sj,2010,12,15
sj,2010,13,9
sj,2010,14,9
sj,2010,15,6
sj,2010,16,10
sj,2010,17,12
sj,2010,18,14
sj,2010,19,8
sj,2010,20,21
sj,2010,21,16
sj,2010,22,62
sj,2010,23,28
sj,2010,24,58
sj,2010,25,53
sj,2010,26,46
sj,2010,27,39
sj,2010,28,40
sj,2010,29,70
sj,2010,30,63
sj,2010,31,55
sj,2010,32,88
sj,2010,33,86
sj,2010,34,115
sj,2010,35,125
sj,2010,36,114
sj,2010,37,82
sj,2010,38,53
sj,2010,39,35
sj,2010,40,61
sj,2010,41,95
sj,2010,42,40
sj,2010,43,35
sj,2010,44,51
sj,2010,45,48
sj,2010,46,57
sj,2010,47,31
sj,2010,48,27
sj,2010,49,35
sj,2010,50,22
sj,2010,51,30
sj,2011,52,35
sj,2011,1,44
sj,2011,2,47
sj,2011,3,26
sj,2011,4,23
sj,2011,5,22
sj,2011,6,22
sj,2011,7,14
sj,2011,8,13
sj,2011,9,13
sj,2011,10,7
sj,2011,11,10
sj,2011,12,10
sj,2011,13,11
sj,2011,14,16
sj,2011,15,12
sj,2011,16,13
sj,2011,17,5
sj,2011,18,12
sj,2011,19,9
sj,2011,20,19
sj,2011,21,17
sj,2011,22,17
sj,2011,23,14
sj,2011,24,71
sj,2011,25,53
sj,2011,26,48
sj,2011,27,52
sj,2011,28,58
sj,2011,29,37
sj,2011,30,61
sj,2011,31,43
sj,2011,32,111
sj,2011,33,71
sj,2011,34,127
sj,2011,35,67
sj,2011,36,42
sj,2011,37,47
sj,2011,38,39
sj,2011,39,54
sj,2011,40,81
sj,2011,41,67
sj,2011,42,39
sj,2011,43,25
sj,2011,44,40
sj,2011,45,37
sj,2011,46,32
sj,2011,47,49
sj,2011,48,33
sj,2011,49,33
sj,2011,50,75
sj,2011,51,26
sj,2012,52,39
sj,2012,1,29
sj,2012,2,21
sj,2012,3,21
sj,2012,4,33
sj,2012,5,14
sj,2012,6,21
sj,2012,7,13
sj,2012,8,22
sj,2012,9,10
sj,2012,10,9
sj,2012,11,11
sj,2012,12,6
sj,2012,13,14
sj,2012,14,12
sj,2012,15,10
sj,2012,16,11
sj,2012,17,8
sj,2012,18,18
sj,2012,19,10
sj,2012,20,22
sj,2012,21,8
sj,2012,22,11
sj,2012,23,14
sj,2012,24,23
sj,2012,25,53
sj,2012,26,49
sj,2012,27,17
sj,2012,28,18
sj,2012,29,45
sj,2012,30,48
sj,2012,31,29
sj,2012,32,47
sj,2012,33,54
sj,2012,34,49
sj,2012,35,24
sj,2012,36,92
sj,2012,37,125
sj,2012,38,101
sj,2012,39,86
sj,2012,40,54
sj,2012,41,49
sj,2012,42,56
sj,2012,43,55
sj,2012,44,70
sj,2012,45,48
sj,2012,46,62
sj,2012,47,27
sj,2012,48,24
sj,2012,49,30
sj,2012,50,35
sj,2012,51,27
sj,2013,1,35
sj,2013,2,28
sj,2013,3,29
sj,2013,4,18
sj,2013,5,38
sj,2013,6,15
sj,2013,7,21
sj,2013,8,13
sj,2013,9,9
sj,2013,10,16
sj,2013,11,12
sj,2013,12,5
sj,2013,13,7
sj,2013,14,9
sj,2013,15,8
sj,2013,16,15
sj,2013,17,7
iq,2010,26,10
iq,2010,27,2
iq,2010,28,7
iq,2010,29,2
iq,2010,30,2
iq,2010,31,6
iq,2010,32,9
iq,2010,33,2
iq,2010,34,2
iq,2010,35,11
iq,2010,36,2
iq,2010,37,1
iq,2010,38,13
iq,2010,39,7
iq,2010,40,18
iq,2010,41,6
iq,2010,42,6
iq,2010,43,18
iq,2010,44,11
iq,2010,45,13
iq,2010,46,6
iq,2010,47,15
iq,2010,48,16
iq,2010,49,5
iq,2010,50,12
iq,2010,51,8
iq,2011,52,9
iq,2011,1,20
iq,2011,2,8
iq,2011,3,11
iq,2011,4,10
iq,2011,5,7
iq,2011,6,11
iq,2011,7,12
iq,2011,8,12
iq,2011,9,17
iq,2011,10,12
iq,2011,11,8
iq,2011,12,9
iq,2011,13,8
iq,2011,14,8
iq,2011,15,10
iq,2011,16,8
iq,2011,17,11
iq,2011,18,9
iq,2011,19,4
iq,2011,20,4
iq,2011,21,3
iq,2011,22,2
iq,2011,23,2
iq,2011,24,2
iq,2011,25,2
iq,2011,26,2
iq,2011,27,5
iq,2011,28,2
iq,2011,29,2
iq,2011,30,1
iq,2011,31,2
iq,2011,32,3
iq,2011,33,2
iq,2011,34,3
iq,2011,35,2
iq,2011,36,2
iq,2011,37,4
iq,2011,38,4
iq,2011,39,2
iq,2011,40,1
iq,2011,41,10
iq,2011,42,9
iq,2011,43,18
iq,2011,44,6
iq,2011,45,9
iq,2011,46,18
iq,2011,47,9
iq,2011,48,9
iq,2011,49,11
iq,2011,50,27
iq,2011,51,15
iq,2012,52,10
iq,2012,1,16
iq,2012,2,12
iq,2012,3,10
iq,2012,4,3
iq,2012,5,11
iq,2012,6,12
iq,2012,7,10
iq,2012,8,6
iq,2012,9,3
iq,2012,10,7
iq,2012,11,2
iq,2012,12,3
iq,2012,13,9
iq,2012,14,4
iq,2012,15,8
iq,2012,16,19
iq,2012,17,3
iq,2012,18,7
iq,2012,19,2
iq,2012,20,10
iq,2012,21,2
iq,2012,22,2
iq,2012,23,2
iq,2012,24,4
iq,2012,25,2
iq,2012,26,1
iq,2012,27,3
iq,2012,28,4
iq,2012,29,3
iq,2012,30,7
iq,2012,31,2
iq,2012,32,1
iq,2012,33,2
iq,2012,34,7
iq,2012,35,3
iq,2012,36,2
iq,2012,37,5
iq,2012,38,6
iq,2012,39,10
iq,2012,40,3
iq,2012,41,6
iq,2012,42,8
iq,2012,43,8
iq,2012,44,15
iq,2012,45,6
iq,2012,46,11
iq,2012,47,26
iq,2012,48,13
iq,2012,49,16
iq,2012,50,5
iq,2012,51,11
iq,2013,1,9
iq,2013,2,5
iq,2013,3,4
iq,2013,4,8
iq,2013,5,22
iq,2013,6,8
iq,2013,7,8
iq,2013,8,14
iq,2013,9,9
iq,2013,10,12
iq,2013,11,8
iq,2013,12,7
iq,2013,13,9
iq,2013,14,7
iq,2013,15,8
iq,2013,16,7
iq,2013,17,18
iq,2013,18,2
iq,2013,19,6
iq,2013,20,8
iq,2013,21,2
iq,2013,22,4
iq,2013,23,1
iq,2013,24,2
iq,2013,25,2
iq,2013,26,2
